,x1,x2,x3
0,1.5403851,2.0118077,-12.837942
1,-11.378807,4.5816736,3.1410513
2,-3.010063,1.9057498,8.379338
3,-3.3635354,1.1107327,3.9872017
4,-2.0253088,2.5871508,0.80610037
5,-13.186112,4.2158976,8.1542635
6,0.2968017,-2.5330284,-7.2968764
7,-0.19437529,-3.0970304,-0.99164474
8,-9.25809,4.6445193,5.6771336
9,-3.2476416,-1.1947577,0.06463057
10,4.992466,-8.270946,2.4241872
11,4.364526,-8.784399,-3.4882128
12,1.3237766,-3.0255935,-0.012637419
13,-0.6592942,-1.0559313,-3.359377
14,-1.2677157,3.674223,9.328271
15,0.16011855,-5.742812,-8.331193
16,-13.397843,4.976038,8.128902
17,-11.668706,5.7037745,7.210111
18,14.588858,10.041692,-2.0719664
19,1.3716832,-1.257151,4.478155
20,1.8514138,2.558031,4.0956554
21,11.19945,10.141388,-1.7049973
22,6.5627866,-6.239358,-5.6989527
23,1.5156779,5.1698985,2.8065884
24,3.3844326,0.8626924,-12.271306
25,4.4939766,4.1622844,3.947039
26,-2.2924044,6.185068,8.180008
27,-14.029932,3.6409197,4.3117476
28,-2.4048736,-0.7219746,-0.90176636
29,0.9951602,6.957171,8.938657
30,-0.49059278,4.8216805,5.17345
31,-16.079151,5.0160575,6.9887013
32,-3.934811,5.2554746,6.666737
33,3.5517747,-8.046825,-7.087161
34,-16.729948,2.960402,6.8992248
35,-7.4152927,4.3008666,3.9961572
36,0.84588367,-1.0023968,6.2999654
37,4.4375124,4.25698,3.1025372
38,15.369278,9.864832,-2.4926693
39,-4.4939075,0.8977216,6.466781
40,5.8382907,-5.0535965,-6.0639668
41,-12.036996,4.488602,7.23074
42,4.189221,-2.1073492,-9.4725685
43,-0.78690904,-2.2187438,-3.6608953
44,0.23239386,0.0022901918,6.5046053
45,5.8767214,-9.888229,-4.4418616
46,1.8119469,-4.880244,-9.837513
47,14.592031,9.809636,-2.6001742
48,-8.186128,2.876813,2.7043612
49,-3.0668597,-2.6491992,-1.9241251
50,7.535251,-7.6170306,-2.2684016
51,-3.0550473,-0.2785016,4.9568663
52,-4.95105,4.1840568,2.7867382
53,1.4708138,1.434148,-10.501813
54,-1.6631137,3.0740647,-1.6389822
55,0.12859765,4.8241806,2.1929464
56,-9.210304,5.235802,3.3860111
57,-13.794606,6.0943356,5.738813
58,-3.4351041,-0.86822075,5.2147202
59,6.359504,-7.817128,1.1954272
60,7.389627,-2.262243,-10.514684
61,-3.8470783,4.7097125,3.610011
62,-3.7029023,-0.37251088,6.610894
63,-11.58136,4.7293787,6.149257
64,-3.7747655,3.6844625,3.0571415
65,-13.071832,6.576526,6.094435
66,-0.4833004,-0.5638188,-9.568226
67,-0.38139972,3.6419814,1.4321432
68,6.977273,-6.665818,-1.4637849
69,-4.75091,2.1865315,5.570783
70,-11.17316,3.9916916,3.7631178
71,-1.0790662,-2.5489902,-2.9127464
72,2.4648888,1.9066328,-13.517731
73,-3.3744817,0.07986732,0.26248896
74,-1.3764778,1.1405892,-1.7525604
75,4.88634,-1.8149539,-10.409749
76,5.205533,-7.088322,2.0572152
77,4.4382744,-7.9147396,-5.889251
78,-0.43583503,3.2607627,2.7008977
79,-6.1153364,2.1060717,4.733129
80,0.18663676,2.867199,7.238357
81,-1.2617445,-1.9155952,2.6012607
82,-10.848878,3.6975603,5.0342846
83,7.530798,-9.8714905,0.9017132
84,-1.6640948,0.6789776,5.6226573
85,6.399065,-7.25305,-2.498215
86,-0.38288122,-0.50859845,4.9323153
87,5.7275715,-6.7543325,-7.1358104
88,-5.8777747,4.4451003,5.322921
89,11.418656,10.196193,-1.8306327
90,0.5720279,2.2526271,4.47416
91,-13.981673,3.9254391,8.465535
92,-1.388814,5.9923835,8.432869
93,7.9224353,-7.1091075,-7.8899174
94,-6.153477,3.6780694,3.0977452
95,-1.4468809,-4.12721,-9.82876
96,-3.4195368,-0.32265422,-1.4011234
97,-12.300589,6.633894,7.840879
98,5.743496,-8.04799,-5.4251165
99,-8.425708,4.4488397,5.229782
100,-11.4810705,6.022389,7.324953
101,2.718396,-1.4881741,-5.913132
102,1.3580673,1.2002164,-1.1361405
103,7.5569086,-5.497945,-8.462413
104,4.9387846,3.8073142,3.5739052
105,0.70819455,-0.04704513,-9.541125
106,6.9474325,-4.435333,-9.530586
107,6.1630926,-9.533074,-6.858493
108,-4.0061727,-0.9954389,3.6924744
109,2.4763389,2.8967292,-12.853445
110,4.799335,-6.2993083,-6.9158006
111,6.4662657,-1.9209605,-9.586243
112,1.7756739,1.0535018,-4.110324
113,-1.5740515,0.0055942778,0.2803372
114,3.7027671,4.3023996,2.161259
115,4.409633,-9.481354,-2.404774
116,4.5250983,-8.794905,-5.256107
117,7.9438443,-10.101348,-1.6563851
118,-1.6401855,-3.8779442,-8.06977
119,-0.6703098,-0.13248551,-3.6338131
120,-0.6994053,6.71722,8.746312
121,-2.7441833,1.009685,3.0662134
122,0.052296955,5.2302322,3.6620219
123,-0.9997552,1.3623118,-0.3807965
124,-1.9050351,4.7719393,1.5833019
125,0.487915,2.108296,1.1243347
126,-1.6624006,-1.7475687,-1.1587542
127,-2.0147233,4.942022,4.747741
128,-15.264063,3.325161,7.434722
129,-3.8107386,-0.87846786,4.6519747
130,-2.8587236,-1.1278956,1.8683137
131,-2.3054428,3.7850575,0.8159622
132,8.320434,-7.1601534,-5.021116
133,-3.9315832,-1.264011,5.2200966
134,0.35227814,2.6725924,4.1274347
135,14.225605,9.417488,-3.1650019
136,-1.4014205,-1.4419968,1.4681246
137,5.504313,-8.646552,-4.995556
138,5.1749363,-10.178558,-6.35219
139,-12.31221,4.982773,6.3554935
140,1.7004969,3.5576885,-1.6690123
141,-13.698336,2.8344123,7.193793
142,13.552303,9.336611,-1.6864175
143,-5.3684783,0.1177219,4.3692365
144,7.1947446,-9.593603,-0.19379738
145,-11.822045,3.777533,4.218432
146,7.555132,-8.382034,-4.194081
147,3.4417179,-8.603176,-5.167011
148,0.46696535,0.9791483,-0.23726258
149,-0.7688792,-2.2838786,-10.675216
150,-4.579898,5.601497,8.540697
151,-3.7087147,-2.994059,-0.15610665
152,-2.7059493,3.7047517,4.3130174
153,-14.89962,4.285015,5.790603
154,5.396972,-4.820497,-6.37957
155,0.9535203,2.9152474,10.015115
156,1.1139688,-2.8496366,-8.757998
157,-2.4338124,1.1515158,3.2436738
158,1.1739563,0.5727433,-9.613342
159,-1.817942,-1.6939951,3.4925127
160,0.8415816,2.8458967,-3.4919934
161,7.144811,-7.2131414,0.005050354
162,-3.18726,5.5196323,3.3205714
163,-0.7361637,-3.8644326,-2.8263197
164,0.0014131081,-3.487506,-0.4551462
165,3.515231,2.447804,-3.4700003
166,0.033854656,1.8069978,-2.2580023
167,0.4782526,-2.6258774,-3.9574392
168,5.891417,-10.840756,-7.321331
169,-1.1661153,0.6710731,-1.5537715
170,-14.420675,3.85967,7.3139963
171,4.87772,-8.425087,-5.062077
172,-0.3160503,2.1357102,-3.9816334
173,-2.5978353,-0.20569703,0.7812962
174,12.883402,10.154149,-1.316508
175,-3.0801666,3.4513364,2.1004944
176,11.241916,9.896312,-1.5490527
177,-0.30726004,2.878583,-2.0383258
178,-2.5169678,-3.3025649,0.054803368
179,13.126554,9.632056,-1.4960138
180,8.232966,-8.967943,-4.880866
181,-3.9035935,4.913123,3.8619752
182,-0.52123576,-5.5382867,-9.40918
183,8.1196575,-7.236032,-3.3429265
184,6.5131316,-6.433122,-0.76593745
185,5.7982516,-1.9867425,-9.885341
186,1.5686466,0.9850545,8.411773
187,-6.031403,2.9344475,1.7365108
188,5.714956,-8.853418,-7.6944513
189,3.8910506,-0.3236743,-11.249239
190,-1.0844587,4.168174,3.6753209
191,-14.082616,5.689812,5.7165155
192,-4.1161127,-0.40856382,5.025771
193,0.34122995,1.3309363,4.095203
194,1.1255597,5.0786557,-0.33292177
195,3.2037513,4.343531,5.422293
196,-0.52641714,-0.8728781,6.499991
197,-2.3216763,-0.09570313,2.3389971
198,1.9345982,2.0493155,-5.5114746
199,-2.1350694,3.4127536,0.39458814
200,3.183107,3.7483876,1.0364804
201,3.1548655,0.93589795,6.145699
202,-2.7948515,6.078465,7.541374
203,-3.5058842,2.442816,6.9915285
204,3.6697035,3.303099,6.1304708
205,12.208566,9.84039,-2.2564611
206,8.994767,-9.837388,-1.0250521
207,1.221652,4.049247,-1.8392564
208,-2.07241,-2.4798043,2.7629774
209,-0.29213437,-2.905908,1.77214
210,-1.1000178,2.51787,8.106092
211,-1.8380036,-4.3157744,-9.24815
212,2.7154136,4.7008348,1.2431948
213,-4.0025535,-2.667171,1.148939
214,1.4810588,2.2768977,-0.7487037
215,-1.7548974,-4.503261,-10.126163
216,6.313073,-10.159491,-3.78942
217,7.2669296,-4.5082316,-7.479886
218,8.355841,-9.401565,0.109678335
219,4.113944,-0.9701862,2.5124817
220,-10.082535,5.333039,5.3342094
221,1.3174661,0.73475087,-2.216052
222,-1.3528787,-3.8588812,-1.746519
223,-2.8153374,2.6183195,8.801442
224,-4.940561,3.4878442,7.3229694
225,1.1232926,-3.069751,-1.3873208
226,7.234414,-2.2386665,-10.350684
227,1.1754923,1.9272109,-12.230355
228,-4.91217,-0.73618716,6.0028105
229,5.3484683,-3.9016976,-6.772744
230,1.9207438,1.657583,-11.108461
231,11.320697,9.82903,-2.8206215
232,3.1574342,-7.528251,-7.501383
233,4.2216587,-7.014741,-4.282355
234,-0.027563717,-2.4427764,-10.222475
235,7.3535643,-9.285623,1.427488
236,-1.6478428,5.9669433,8.0489645
237,-2.8077312,4.455181,4.147686
238,-13.315361,3.2737722,5.6251736
239,-0.029474622,4.314069,1.6622552
240,-9.696106,6.2766895,4.645742
241,0.8569106,-3.2012596,-10.659367
242,-14.701687,4.5532436,8.244193
243,2.1582136,-0.1510128,3.4827209
244,-0.788329,0.1842149,6.5108867
245,-6.7693567,4.778716,7.493227
246,-1.3620692,-5.1389756,-8.924886
247,-1.152296,1.1401186,7.073041
248,6.921612,-7.798803,1.8705654
249,-2.9382405,1.2433432,4.7028394
250,0.85419244,2.3782187,-0.9814552
251,-8.265922,1.9627818,3.0316427
252,-12.550005,5.4139924,5.046611
253,-8.9833555,1.8655341,3.179021
254,4.876349,-10.900656,-6.4625835
255,2.243038,5.5261874,7.0317106
256,-2.577142,5.645486,5.0739512
257,11.776781,10.72986,-1.7931105
258,-11.044467,4.065887,3.225055
259,-1.6111873,-4.426783,-9.704525
260,13.213468,9.590072,-2.0117257
261,3.2931726,4.071475,1.5659381
262,0.30262166,3.3756127,7.7120914
263,1.9896623,1.1508324,4.2572956
264,1.4927367,-1.778803,-3.6249473
265,0.92913026,0.54841983,-9.577958
266,2.074601,0.45235947,-2.0627396
267,7.906101,-5.969645,-5.5573864
268,5.461483,-6.145984,-0.14656453
269,1.0248272,1.4219863,4.8737693
270,-13.860729,3.9936564,7.0822334
271,-1.9669,0.08843053,5.820413
272,-15.542433,3.8392973,7.839851
273,-5.3326025,1.0622841,4.091869
274,6.8765016,-7.3113055,-7.2283382
275,1.3243543,-0.06787957,7.3861003
276,2.9876087,-8.584652,-7.7402916
277,-1.4590272,-0.9379786,-1.8809329
278,-0.09282302,-4.533917,-7.9687276
279,-12.139103,6.605975,6.367255
280,4.898025,-7.4025235,-6.936494
